participant_id,block_id,block_type,task_id,start_timestamp,reaction_time,clicked_timestamp,completion_time,end_timestamp,errors,task_code,block_data
18,7,7,3,1711552523.5821388,0.5833109000004697,1711552524.1654496,25.262649799999963,1711552549.4280994,0,MAV#8320,"[np.float64(1711552404.8238113), 338.09621792499956, np.float64(1711552742.9200294)]"
18,7,7,4,1711552583.4330077,0.5147710000001098,1711552583.9477787,19.27235840000003,1711552603.2201371,1,MAV#5412,"[np.float64(1711552404.8238113), 338.09621792499956, np.float64(1711552742.9200294)]"
18,7,7,5,1711552637.22667,1.0493375500004731,1711552638.2760074,40.17736809999997,1711552678.4533756,0,MAV#4275,"[np.float64(1711552404.8238113), 338.09621792499956, np.float64(1711552742.9200294)]"
18,7,7,6,1711552709.4571388,0.7083109000004697,1711552710.1654496,31.90497034999953,1711552742.07042,1,MAV#3791,"[np.float64(1711552404.8238113), 338.09621792499956, np.float64(1711552742.9200294)]"
18,8,6,1,1711552835.41417,0.52734375,1711552835.9415138,14.7109375,1711552850.6524513,0,MAV#4514,"[np.float64(1711552835.410707), 330.8296349249995, np.float64(1711553166.240342)]"
18,8,6,2,1711552855.6563575,0.5703125,1711552856.22667,20.966796875,1711552877.193467,0,MAV#3835,"[np.float64(1711552835.410707), 330.8296349249995, np.float64(1711553166.240342)]"
18,8,6,3,1711552878.1993263,0.556640625,1711552878.755967,20.34375,1711552899.099717,0,MAV#7367,"[np.float64(1711552835.410707), 330.8296349249995, np.float64(1711553166.240342)]"
18,8,6,4,1711552904.1029496,0.5905172249995303,1711552904.693467,14.5234375,1711552919.2169044,0,MAV#8163,"[np.float64(1711552835.410707), 330.8296349249995, np.float64(1711553166.240342)]"
18,8,6,5,1711552923.2227638,1.5299353000000335,1711552924.752699,13.913424074999966,1711552938.6661232,0,MAV#8928,"[np.float64(1711552835.410707), 330.8296349249995, np.float64(1711553166.240342)]"
18,8,6,6,1711552941.6707883,1.1281471749998673,1711552942.7989357,15.208984375,1711552958.00792,0,MAV#2875,"[np.float64(1711552835.410707), 330.8296349249995, np.float64(1711553166.240342)]"
18,8,6,7,1711552962.0137794,0.443359375,1711552962.4571388,14.634765625,1711552977.0919044,0,MAV#6888,"[np.float64(1711552835.410707), 330.8296349249995, np.float64(1711553166.240342)]"
18,8,6,8,1711552980.10167,0.7903421500004697,1711552980.8920121,17.089404299999842,1711552997.9814165,0,MAV#1021,"[np.float64(1711552835.410707), 330.8296349249995, np.float64(1711553166.240342)]"
18,8,6,9,1711553002.9862063,0.5549167749995831,1711553003.5411232,17.388671875,1711553020.929795,4,MAV#6290,"[np.float64(1711552835.410707), 330.8296349249995, np.float64(1711553166.240342)]"
18,8,6,10,1711553022.9337013,2.271484375,1711553025.2051857,23.90234375,1711553049.1075294,0,MAV#7241,"[np.float64(1711552835.410707), 330.8296349249995, np.float64(1711553166.240342)]"
18,8,6,11,1711553051.1148808,1.2884109999999964,1711553052.4032917,35.716068099999575,1711553088.11936,0,MAV#2230,"[np.float64(1711552835.410707), 330.8296349249995, np.float64(1711553166.240342)]"
18,8,6,12,1711553093.1225274,1.7742385000001375,1711553094.8967657,14.163888524999493,1711553109.0606544,0,MAV#4148,"[np.float64(1711552835.410707), 330.8296349249995, np.float64(1711553166.240342)]"
18,8,6,13,1711553113.0638871,0.5579830000001493,1711553113.62187,17.77110420000008,1711553131.3929744,2,MAV#8539,"[np.float64(1711552835.410707), 330.8296349249995, np.float64(1711553166.240342)]"
18,8,6,14,1711553132.4024513,1.384851400000116,1711553133.7873025,13.03745740000022,1711553146.82476,0,MAV#7340,"[np.float64(1711552835.410707), 330.8296349249995, np.float64(1711553166.240342)]"
18,8,6,15,1711553150.8419044,0.58203125,1711553151.4239357,14.226571425000202,1711553165.650507,0,MAV#6589,"[np.float64(1711552835.410707), 330.8296349249995, np.float64(1711553166.240342)]"
19,1,4,1,1711617474.9076016,0.8856920000000024,1711617475.7932937,57.43924609999999,1711617533.23254,0,MAV#5494,"[np.float64(1711617474.906368), 320.162109375, np.float64(1711617795.0684774)]"
19,1,4,2,1711617534.243046,1.419978100000009,1711617535.6630242,41.8131047,1711617577.4761288,0,MAV#7398,"[np.float64(1711617474.906368), 320.162109375, np.float64(1711617795.0684774)]"
19,1,4,3,1711617581.4883993,1.0390625000000142,1711617582.5274618,41.05886602499999,1711617623.5863278,0,MAV#6215,"[np.float64(1711617474.906368), 320.162109375, np.float64(1711617795.0684774)]"
